x,y,data

0,0,104.0
0,1,105.75
0,2,105.75
0,3,104.0625
0,4,101.6875
0,5,101.6875
0,6,101.9375
0,7,102.375
0,8,103.5
0,9,102.875
0,10,104.125
0,11,102.875
0,12,103.0625
0,13,102.5
0,14,103.0625
0,15,122.0625
0,16,122.0625
0,17,111.125
0,18,106.125
0,19,105.125
0,20,105.125
0,21,103.4375
0,22,102.5
0,23,101.5
0,24,102.1875
0,25,102.1875
0,26,102.1875
0,27,101.25
0,28,100.41666666666667
0,29,100.41666666666667
0,30,100.625
0,31,103.9375
0,32,102.0
0,33,103.9375
0,34,103.9375
0,35,102.9375
0,36,102.9375
0,37,101.5625
0,38,99.3125
0,39,96.0
0,40,84.5
0,41,82.75
0,42,84.5
0,43,93.6875
0,44,94.1875
0,45,96.6875
0,46,99.8125
0,47,100.0625
0,48,99.3125
0,49,99.3125
0,50,101.3125
0,51,101.3125
0,52,101.8125
0,53,97.125
0,54,99.25
0,55,99.8125
0,56,102.125
0,57,101.1875
0,58,103.08333333333333
0,59,103.08333333333333
0,60,103.08333333333333
0,61,102.6875
0,62,102.6875
0,63,102.125
0,64,104.3125
0,65,102.6875
0,66,103.25
0,67,102.6875
0,68,103.25
0,69,101.6875
0,70,100.0625
0,71,100.0625
0,72,100.0625
0,73,98.9375
0,74,98.9375
0,75,102.0
0,76,102.0
0,77,100.6875
0,78,101.375
0,79,101.375
0,80,100.6875
0,81,100.6875
0,82,102.9375
0,83,102.9375
0,84,103.5
0,85,103.5
0,86,101.5
0,87,101.5
0,88,101.91666666666667
0,89,101.9375
0,90,101.9375
0,91,103.125
0,92,101.625
0,93,102.25
0,94,101.625
0,95,103.3125
0,96,99.875
0,97,101.3125
0,98,101.5
0,99,101.5
0,100,101.5
0,101,101.8125
0,102,103.3125
0,103,103.3125
0,104,102.5
0,105,101.375
0,106,102.5
0,107,101.9375
0,108,101.9375
0,109,101.875
0,110,101.875
0,111,101.875
0,112,101.5625
0,113,101.4375
0,114,101.4375
0,115,108.375
0,116,102.625
0,117,102.625
0,118,103.16666666666667
0,119,103.16666666666667
0,120,102.6875
0,121,102.6875
0,122,101.0625
0,123,103.25
0,124,103.0
0,125,102.5
0,126,100.6875
0,127,100.6875
0,128,101.625
0,129,102.3125
0,130,102.3125
0,131,101.625
0,132,100.75
0,133,100.75
0,134,101.625
0,135,101.75
0,136,104.0625
0,137,103.5
0,138,99.5
0,139,99.5
0,140,100.0625
0,141,100.75
0,142,103.5625
0,143,103.5625
0,144,102.375
0,145,102.375
0,146,102.66666666666667
0,147,101.4375
0,148,101.4375
0,149,101.4375
0,150,100.0
0,151,100.0
0,152,101.0
0,153,104.4375
0,154,102.3125
0,155,103.125
0,156,103.125
0,157,103.1875
0,158,102.875
0,159,102.875
0,160,103.1875
0,161,103.1875
0,162,103.1875
0,163,102.41666666666667
0,164,102.5625
0,165,103.8125
0,166,103.8125
0,167,102.6875
0,168,102.6875
0,169,103.1875
0,170,108.0
0,171,103.1875
0,172,97.5
0,173,103.25
0,174,98.125
0,175,97.75
0,176,87.5625
0,177,90.8125
0,178,90.8125
0,179,90.8125
0,180,89.25
0,181,48.3125
0,182,66.0
0,183,66.0
0,184,66.0
0,185,50.5
0,186,4.0
0,187,4.0
0,188,4.0
0,189,4.0
0,190,4.0
0,191,4.0
1,0,102.625
1,1,105.0625
1,2,105.0625
1,3,101.6875
1,4,100.5
1,5,101.4375
1,6,101.4375
1,7,101.4375
1,8,102.25
1,9,102.25
1,10,102.25
1,11,102.0
1,12,102.8125
1,13,102.5
1,14,102.5
1,15,107.58333333333333
1,16,109.1875
1,17,103.8125
1,18,103.25
1,19,103.8125
1,20,103.4375
1,21,103.4375
1,22,103.375
1,23,102.1875
1,24,102.125
1,25,100.625
1,26,101.25
1,27,99.3125
1,28,100.41666666666667
1,29,101.08333333333333
1,30,101.08333333333333
1,31,102.9375
1,32,100.9375
1,33,102.0
1,34,101.3125
1,35,101.3125
1,36,100.625
1,37,100.625
1,38,98.5
1,39,96.0
1,40,92.0625
1,41,89.3125
1,42,92.0625
1,43,96.41666666666667
1,44,96.41666666666667
1,45,97.75
1,46,100.0625
1,47,100.0625
1,48,99.8125
1,49,99.3125
1,50,101.3125
1,51,101.8125
1,52,101.8125
1,53,100.5
1,54,100.5
1,55,100.375
1,56,102.5625
1,57,101.1875
1,58,102.5625
1,59,102.25
1,60,103.08333333333333
1,61,102.9375
1,62,104.625
1,63,105.25
1,64,105.25
1,65,104.3125
1,66,103.6875
1,67,103.25
1,68,102.1875
1,69,102.125
1,70,100.4375
1,71,100.0625
1,72,100.0625
1,73,100.625
1,74,100.8125
1,75,102.0
1,76,102.0
1,77,100.6875
1,78,100.6875
1,79,100.6875
1,80,100.5
1,81,100.6875
1,82,102.1875
1,83,102.9375
1,84,102.9375
1,85,101.8125
1,86,101.0625
1,87,101.5
1,88,101.9375
1,89,102.91666666666667
1,90,103.125
1,91,104.875
1,92,102.25
1,93,102.125
1,94,101.625
1,95,101.8125
1,96,100.0
1,97,101.3125
1,98,101.3125
1,99,101.5
1,100,101.8125
1,101,101.875
1,102,102.8125
1,103,103.3125
1,104,102.5
1,105,101.375
1,106,102.5
1,107,102.75
1,108,102.75
1,109,101.9375
1,110,102.4375
1,111,102.4375
1,112,102.4375
1,113,104.8125
1,114,108.375
1,115,133.75
1,116,109.75
1,117,106.58333333333333
1,118,103.16666666666667
1,119,104.75
1,120,102.6875
1,121,103.75
1,122,102.25
1,123,102.125
1,124,102.125
1,125,102.5
1,126,101.0625
1,127,100.6875
1,128,100.6875
1,129,101.625
1,130,102.25
1,131,101.25
1,132,98.875
1,133,98.875
1,134,101.625
1,135,101.75
1,136,103.25
1,137,101.4375
1,138,101.375
1,139,99.5
1,140,101.375
1,141,101.8125
1,142,102.0
1,143,102.375
1,144,101.75
1,145,101.75
1,146,101.0625
1,147,101.4375
1,148,99.6875
1,149,99.6875
1,150,100.0
1,151,101.0
1,152,102.3125
1,153,102.3125
1,154,100.4375
1,155,101.5625
1,156,101.5625
1,157,103.125
1,158,101.375
1,159,101.375
1,160,103.1875
1,161,102.41666666666667
1,162,102.5625
1,163,101.83333333333333
1,164,100.8125
1,165,100.8125
1,166,100.75
1,167,101.4375
1,168,101.4375
1,169,103.0
1,170,103.1875
1,171,103.1875
1,172,101.25
1,173,101.4375
1,174,99.9375
1,175,99.875
1,176,97.75
1,177,97.75
1,178,101.6875
1,179,101.6875
1,180,99.4375
1,181,99.4375
1,182,99.5
1,183,100.9375
1,184,99.5
1,185,97.6875
1,186,97.6875
1,187,98.3125
1,188,101.375
1,189,76.3125
1,190,76.3125
1,191,101.0625
2,0,102.0
2,1,103.3125
2,2,102.5
2,3,101.4375
2,4,99.25
2,5,100.5
2,6,99.5
2,7,101.4375
2,8,102.125
2,9,102.25
2,10,102.125
2,11,102.0
2,12,102.8125
2,13,102.8125
2,14,102.5
2,15,102.5
2,16,102.9375
2,17,100.5
2,18,100.0
2,19,99.875
2,20,99.875
2,21,101.4375
2,22,103.375
2,23,103.375
2,24,102.125
2,25,100.5
2,26,101.25
2,27,100.375
2,28,101.08333333333333
2,29,102.75
2,30,101.4375
2,31,102.9375
2,32,101.4375
2,33,102.0
2,34,100.875
2,35,100.875
2,36,100.625
2,37,100.625
2,38,98.9375
2,39,98.8125
2,40,95.6875
2,41,96.375
2,42,96.375
2,43,96.41666666666667
2,44,96.41666666666667
2,45,96.6875
2,46,99.8125
2,47,101.6875
2,48,101.5625
2,49,101.5625
2,50,101.1875
2,51,101.1875
2,52,101.6875
2,53,101.625
2,54,101.6875
2,55,101.1875
2,56,102.5625
2,57,100.5
2,58,102.5625
2,59,103.125
2,60,103.125
2,61,102.9375
2,62,102.9375
2,63,103.6875
2,64,104.3125
2,65,104.3125
2,66,103.25
2,67,102.1875
2,68,101.375
2,69,101.375
2,70,100.4375
2,71,100.4375
2,72,100.4375
2,73,100.8125
2,74,103.125
2,75,103.125
2,76,102.5625
2,77,101.75
2,78,100.6875
2,79,98.6875
2,80,98.375
2,81,101.375
2,82,102.1875
2,83,102.1875
2,84,102.1875
2,85,100.0625
2,86,99.9375
2,87,100.0625
2,88,102.0
2,89,103.33333333333333
2,90,106.125
2,91,106.125
2,92,103.0625
2,93,101.4375
2,94,100.375
2,95,100.375
2,96,100.0
2,97,100.4375
2,98,100.5
2,99,101.9375
2,100,101.875
2,101,101.9375
2,102,101.875
2,103,102.4375
2,104,101.8125
2,105,101.8125
2,106,102.5
2,107,103.5625
2,108,103.6875
2,109,103.6875
2,110,103.6875
2,111,104.6875
2,112,104.6875
2,113,106.625
2,114,109.0
2,115,133.75
2,116,109.75
2,117,106.58333333333333
2,118,103.3125
2,119,103.3125
2,120,102.25
2,121,103.375
2,122,103.25
2,123,102.8125
2,124,102.75
2,125,102.75
2,126,102.5
2,127,100.6875
2,128,99.8125
2,129,100.6875
2,130,101.625
2,131,101.25
2,132,100.75
2,133,100.75
2,134,101.5625
2,135,101.5625
2,136,103.25
2,137,101.4375
2,138,101.4375
2,139,100.375
2,140,101.8125
2,141,102.0
2,142,102.0625
2,143,101.75
2,144,101.3125
